2026-06-18 12:50:18,914 | INFO | Application started successfully.
2026-06-18 12:50:19,657 | INFO | Application started successfully.
2026-06-18 12:53:11,573 | INFO | Application started successfully.
2026-06-18 12:54:01,181 | INFO | Application started successfully.
2026-06-18 12:54:24,916 | INFO | Application started successfully.
2026-06-18 12:54:38,245 | INFO | Application started successfully.
2026-06-18 12:55:00,132 | INFO | Application started successfully.
2026-06-18 12:56:24,788 | INFO | Application started successfully.
2026-06-18 12:56:42,011 | INFO | Application started successfully.
2026-06-18 12:57:38,360 | INFO | Application started successfully.
2026-06-18 12:58:40,755 | INFO | Application started successfully.
2026-06-18 12:58:54,383 | INFO | Application started successfully.
2026-06-18 13:00:01,116 | INFO | Application started successfully.
2026-06-18 13:00:52,037 | INFO | Application started successfully.
2026-06-18 13:01:34,637 | INFO | Application started successfully.
2026-06-18 13:01:44,612 | INFO | PDF upload request received.
2026-06-18 13:01:44,612 | INFO | Saving uploaded file: 
2026-06-18 13:01:53,461 | INFO | PDF upload request received.
2026-06-18 13:01:53,461 | INFO | Saving uploaded file: Episeio_Untak Singhal_3.11 yrs_BDM-4PL.pdf
2026-06-18 13:01:53,462 | INFO | File saved successfully: C:\Users\Lenovo\Documents\AI ML\PDFTextExtractor\data\input\data\input\Episeio_Untak Singhal_3.11 yrs_BDM-4PL.pdf
2026-06-18 13:01:53,462 | INFO | Starting PDF text extraction.
2026-06-18 13:01:53,790 | INFO | Starting PDF text completed.
2026-06-18 13:01:53,790 | INFO | Reading PDF metadata started.
2026-06-18 13:01:53,792 | INFO | Reading PDF metadata completed.
2026-06-18 13:01:53,793 | INFO | Returning extraction result page.
2026-06-18 13:02:01,097 | INFO | Search Started.
2026-06-18 13:02:01,098 | INFO | Searching keyword: UNTAK
2026-06-18 13:02:01,098 | INFO | Keyword 'UNTAK' found 2 times.
2026-06-18 13:02:01,099 | INFO | Text highliting Started.
2026-06-18 13:02:01,099 | INFO | Text highliting Completed.
2026-06-18 13:02:01,100 | INFO | Search completed.
2026-06-18 13:04:28,327 | INFO | Application started successfully.
2026-06-18 13:05:05,312 | INFO | Application started successfully.
2026-06-18 13:05:11,618 | INFO | Application started successfully.
2026-06-18 13:06:11,656 | INFO | Application started successfully.
2026-06-18 13:07:20,710 | INFO | Application started successfully.
2026-06-18 13:07:45,056 | INFO | Application started successfully.
2026-06-18 13:08:13,998 | INFO | Application started successfully.
2026-06-18 13:09:59,362 | INFO | PDF upload request received.
2026-06-18 13:09:59,363 | INFO | Saving uploaded file: Episeio_Untak Singhal_3.11 yrs_BDM-4PL.pdf
2026-06-18 13:09:59,364 | INFO | Saving uploaded file: Episeio_Untak Singhal_3.11 yrs_BDM-4PL.pdf
2026-06-18 13:09:59,366 | INFO | File saved successfully: C:\Users\Lenovo\Documents\AI ML\PDFTextExtractor\data\input\data\input\Episeio_Untak Singhal_3.11 yrs_BDM-4PL.pdf
2026-06-18 13:09:59,366 | INFO | Starting PDF text extraction.
2026-06-18 13:09:59,725 | INFO | PDF text extraction completed.
2026-06-18 13:09:59,726 | INFO | Reading PDF metadata.
2026-06-18 13:09:59,728 | INFO | PDF metadata generated successfully.
2026-06-18 13:09:59,729 | INFO | Returning extraction result page.
2026-06-18 13:10:06,768 | INFO | Search Started.
2026-06-18 13:10:06,768 | INFO | Searching keyword: account
2026-06-18 13:10:06,769 | INFO | Keyword 'account' found 5 times.
2026-06-18 13:10:06,769 | INFO | Text highliting Started.
2026-06-18 13:10:06,770 | INFO | Text highliting Completed.
2026-06-18 13:10:06,771 | INFO | Search completed.
